project_id,num_floors,floor_area_sqm,built_up_area_sqft,room_count,bathroom_count,foundation_excavation_m3,foundation_concrete_m3,total_concrete_m3,steel_kg_estimate,total_brickwork_m3,roof_area_sqm,floor_tile_sqm,wall_plaster_sqm,paint_sqm,electrical_points,total_plumbing_fixtures,total_labour_days,structural_complexity_score,foundation_days,structure_days,masonry_days,roofing_days,electrical_days,plumbing_days,plastering_days,finishing_days,painting_days,external_work_days,handover_days,total_duration_days
RP0147,2,129.36,1392.42,6,2,56.47,26.41,71.37,9840.12,61.81,143.64,194.4,722.61,713.64,54,11,858,1.761,22,61,33,13,16,13,32,18,21,7,4,164
RP0148,1,84.47,909.23,3,2,29.42,12.87,32.32,2829.47,18.36,94.03,64.82,213.94,189.27,28,10,315,1.1,12,33,16,10,9,11,12,13,8,4,4,85
RP0149,3,236.59,2546.63,6,4,106.38,57.94,190.52,34362.15,166.54,245.53,517.41,1933.25,1756.15,56,20,2136,2.451,40,151,72,17,18,19,74,37,48,9,5,371
RP0150,2,251.62,2708.41,8,4,100.66,49.99,137.25,19456.55,155.1,287.69,373.62,1559.03,1453.11,63,20,1741,1.902,35,101,69,20,16,19,61,34,39,9,5,291
RP0151,2,211.73,2279.04,7,3,90.18,42.86,118.75,15973.75,121.37,245.32,330.18,1222.11,1065.08,62,15,1428,1.925,33,88,55,18,16,16,49,25,29,8,4,242
RP0152,2,108.82,1171.33,5,3,50.32,21.3,62.95,8374.33,49.22,111.48,167.68,567.98,499.59,41,15,725,1.73,21,55,27,10,13,15,29,21,16,6,4,148
RP0153,2,321.61,3461.78,8,3,146.08,64.28,177.22,30948.66,168.83,345.84,473.29,2008.51,1678.75,64,15,2035,2.036,44,135,76,25,17,15,76,38,44,12,5,359
RP0154,2,392.97,4229.89,7,3,176.26,73.2,209.53,28746.57,210.48,437.95,700.61,2137.55,1800.54,53,17,2247,2.148,49,137,90,29,16,15,81,41,48,13,4,383
RP0155,2,279.31,3006.46,7,2,121.88,56.07,164.76,21790.62,145.39,319.56,440.23,1699.43,1456.29,61,10,1753,1.983,38,110,65,23,18,11,63,30,39,11,3,299
RP0156,1,358.43,3858.1,7,2,123.79,55.37,122.04,13885.64,103.84,425.98,316.2,977.48,981.12,47,10,1189,1.585,37,77,50,25,13,11,40,29,30,12,5,227
RP0157,2,313.15,3370.72,6,2,144.08,61.52,181.23,26539.33,170.03,369.65,573.38,1905.5,1699.49,46,12,1964,2.067,43,126,75,25,14,13,75,38,45,11,5,348
RP0158,3,253.78,2731.66,7,3,122.94,59.59,197.59,41762.16,195.9,279.82,600.43,1903.96,1924.81,74,17,2289,2.349,42,172,87,22,20,17,73,35,48,9,4,399
RP0159,3,249.54,2686.02,6,2,126.09,58.08,207.48,35332.01,198.62,287.79,677.05,2112.37,1926.62,54,12,2395,2.321,42,156,85,22,16,12,80,42,50,11,5,395
RP0160,1,178.76,1924.15,7,3,67.42,31.25,60.93,5295.31,45.93,207.48,138.51,554.55,491.51,54,13,656,1.365,23,41,27,15,13,13,23,23,16,9,5,135
RP0161,1,297.91,3206.67,6,2,106.64,50.24,103.91,10922.86,72.87,357.47,254.11,867.34,786.13,42,9,970,1.55,33,67,36,23,13,11,35,26,24,8,4,192
RP0162,2,361.26,3888.57,7,3,155.89,68.43,201.71,29751.14,188.96,470.94,625.9,2061.71,1744.86,53,16,2184,2.116,46,136,82,31,15,16,79,38,46,11,5,370
RP0163,3,218.69,2353.96,5,4,114.87,54.73,164.29,31093.65,159.15,251.1,550.68,1912.96,1705.33,48,22,2113,2.227,40,133,69,20,15,21,73,33,45,10,4,345
RP0164,2,239.63,2579.35,5,3,95.59,44.77,131.11,22521.68,119.02,233.42,389.7,1311.62,1334.77,42,15,1429,1.918,32,105,55,18,14,14,50,34,37,9,5,271
RP0165,3,332.02,3573.83,8,4,148.23,87.18,264.51,50507.24,252.18,351.52,913.15,2890.99,2856.71,65,20,3222,2.511,50,203,105,24,18,17,107,46,71,14,5,510
RP0166,2,130.9,1408.99,4,2,57.45,27.32,77.8,11411.64,57.05,151.7,205.1,770.2,725.72,36,12,781,1.649,22,66,28,14,13,12,32,19,20,7,4,166
RP0167,2,353.58,3805.9,8,2,145.86,69.15,205.64,30731.45,201.3,384.92,617.61,2047.98,1698.21,61,11,2362,2.109,45,142,89,25,16,11,77,41,46,14,5,378
RP0168,1,374.23,4028.17,5,2,136.2,66.18,141.82,13715.02,84.63,404.06,333.19,1054.88,981.26,34,10,1077,1.582,41,80,42,26,11,11,40,25,29,13,4,226
RP0169,2,152.17,1637.94,6,2,69.11,29.85,81.8,12979.22,69.0,159.29,228.94,838.82,713.36,45,11,979,1.903,26,72,37,15,13,11,33,24,23,8,3,185
RP0170,3,309.54,3331.86,7,3,163.42,72.48,231.85,45845.93,239.13,372.8,745.17,2678.22,2389.43,66,13,2675,2.445,51,188,103,26,19,14,99,47,61,13,5,477
RP0171,2,347.74,3743.04,8,2,147.83,67.19,196.5,31098.56,188.0,379.12,587.35,2052.66,1869.25,56,11,1967,2.103,43,139,82,26,16,10,76,42,50,12,4,372
RP0172,2,349.69,3764.03,6,3,163.96,68.54,184.29,28622.63,148.49,421.68,595.65,1792.57,1648.32,54,16,2139,2.028,46,131,65,27,14,15,68,36,42,10,5,341
RP0173,1,186.18,2004.02,4,2,68.71,30.01,67.0,6230.61,42.53,212.81,158.55,498.91,409.44,29,10,584,1.286,23,46,22,17,9,12,22,22,17,8,5,134
RP0174,1,321.06,3455.86,7,2,110.83,48.84,103.23,11304.33,83.64,411.96,235.86,900.0,784.32,56,10,949,1.604,33,67,42,28,16,10,35,23,24,12,4,194
RP0175,1,141.75,1525.78,5,2,52.89,22.47,47.42,4964.4,35.64,159.02,118.07,385.92,340.22,39,10,464,1.245,19,38,24,13,13,11,19,21,14,7,4,118
RP0176,1,215.33,2317.79,5,2,74.82,35.26,73.35,6238.93,50.18,226.79,194.53,639.09,652.4,38,9,697,1.48,25,50,29,16,11,11,27,20,20,7,5,150
RP0177,1,257.54,2772.13,5,1,98.37,45.8,95.5,8964.12,60.21,342.51,198.94,783.15,733.3,30,5,812,1.413,31,64,31,23,10,7,33,19,21,10,4,177
RP0178,3,210.2,2262.57,8,4,101.62,48.93,160.65,31367.24,169.05,243.89,497.39,1863.34,1818.51,63,20,1978,2.32,37,137,75,20,18,18,74,38,49,11,4,355
RP0179,3,293.18,3155.76,8,4,149.94,71.65,226.38,45341.66,219.65,362.36,777.35,2598.44,2172.88,71,19,2743,2.471,48,187,96,27,20,21,99,47,56,12,6,465
RP0180,3,149.25,1606.51,7,4,79.88,33.6,105.7,22254.57,121.92,168.75,405.68,1238.8,1116.67,56,18,1325,2.324,31,108,56,16,16,16,50,32,31,11,4,266
RP0181,1,152.48,1641.28,5,2,51.78,23.46,53.27,5903.82,37.65,189.16,120.56,421.47,388.92,35,9,511,1.359,18,41,24,16,12,12,20,19,15,8,4,119
RP0182,1,145.34,1564.43,5,2,55.69,24.14,53.65,4497.37,35.41,164.3,120.27,382.89,314.44,42,11,500,1.279,21,39,23,14,13,12,17,19,12,7,4,117
RP0183,1,125.25,1348.18,4,1,43.28,18.85,44.36,4516.37,28.51,140.86,104.54,320.59,262.9,32,5,395,1.263,17,36,19,14,10,7,18,17,13,7,5,107
RP0184,3,178.0,1915.97,6,3,92.98,44.64,140.67,25668.91,132.54,223.67,395.28,1460.7,1341.36,62,18,1593,2.225,33,120,62,17,17,16,58,29,36,10,3,294
RP0185,2,246.02,2648.13,7,2,109.78,52.05,129.47,20703.81,121.44,294.88,413.3,1393.53,1227.57,59,10,1558,1.976,36,98,58,20,16,11,56,32,33,10,5,271
RP0186,3,196.43,2114.35,5,4,108.39,44.93,145.91,27854.29,140.78,220.7,483.36,1512.79,1344.05,52,22,1601,2.242,36,129,63,18,15,21,59,34,38,8,5,314
RP0187,2,333.16,3586.1,8,3,145.36,63.38,187.77,29340.13,200.2,400.67,599.33,1944.65,1818.43,60,15,2013,2.022,44,134,86,28,16,15,76,41,49,14,5,369
RP0188,2,221.73,2386.68,5,3,96.35,43.14,127.78,19019.16,102.59,256.79,335.24,1189.45,993.12,41,14,1258,1.859,32,93,48,20,13,14,46,27,28,9,4,238
RP0189,1,269.05,2896.03,5,2,92.17,44.88,92.56,8620.12,66.34,288.54,200.71,713.29,689.16,37,10,802,1.477,29,53,35,19,11,11,31,19,20,11,4,163
RP0190,2,199.36,2145.89,6,2,86.89,40.99,109.19,16572.48,101.47,236.2,329.7,1052.59,1028.79,50,13,1146,1.884,29,87,50,17,14,13,44,28,28,10,5,231
RP0191,2,256.16,2757.28,6,2,115.33,52.49,155.58,20155.59,124.83,299.08,375.9,1436.28,1419.18,48,11,1598,1.972,38,105,57,21,14,11,58,29,38,11,4,284
RP0192,3,310.26,3339.61,7,4,165.88,77.89,236.94,43738.99,267.12,374.16,741.36,2694.66,2635.66,66,24,2957,2.477,50,183,114,27,15,22,103,44,70,9,6,490
RP0193,1,157.7,1697.47,5,3,58.76,24.71,48.15,5748.62,41.82,178.42,140.86,415.33,404.9,40,14,548,1.262,21,40,25,12,11,14,20,19,14,7,4,122
RP0194,3,273.68,2945.86,7,4,136.79,67.4,209.21,41163.06,217.12,312.51,702.65,2192.62,2039.05,65,22,2712,2.4,45,170,92,22,20,21,84,41,55,11,5,424
RP0195,2,175.48,1888.85,7,3,74.38,31.85,93.7,15752.62,95.98,191.5,271.69,1073.01,984.03,57,14,936,1.91,27,86,45,15,16,14,45,28,28,9,5,226
RP0196,3,272.52,2933.38,7,4,137.09,69.16,201.88,34874.48,216.25,302.81,635.97,2158.02,1839.81,67,18,2517,2.482,48,156,94,23,20,16,81,39,49,12,5,405
RP0197,3,389.27,4190.06,8,4,200.13,94.93,253.13,65501.36,333.27,456.67,847.2,3514.89,3471.11,78,20,3722,2.595,62,239,139,33,21,19,130,53,88,14,5,619
RP0198,1,173.73,1870.01,4,2,64.55,26.53,55.7,6582.1,42.29,206.77,159.57,440.82,390.12,38,10,571,1.282,21,42,25,17,11,11,19,20,13,7,5,125
RP0199,3,191.05,2056.44,7,4,100.97,45.24,151.66,28660.12,147.84,216.44,430.5,1510.22,1336.82,68,24,1696,2.314,34,130,67,17,19,19,61,30,36,8,4,312
RP0200,2,293.09,3154.79,7,3,134.63,61.44,179.02,25461.12,154.41,373.68,434.74,1581.72,1617.01,55,16,1925,1.997,43,124,71,25,16,15,60,35,45,12,6,329
RP0201,2,305.04,3283.42,7,3,143.16,59.48,163.82,27593.13,172.25,368.82,455.48,1770.02,1763.14,63,15,1983,2.111,42,125,78,27,18,15,68,32,48,12,4,341
RP0202,3,81.79,880.38,4,3,46.92,19.39,63.72,11398.86,58.35,105.17,178.02,673.95,571.63,46,17,763,2.12,22,70,30,13,18,15,29,19,18,8,4,166
RP0203,2,138.56,1491.45,4,2,55.17,26.1,71.72,12172.65,64.11,149.66,204.83,764.45,705.77,41,10,800,1.773,24,73,30,14,11,11,33,22,21,8,3,178
RP0204,1,347.25,3737.76,6,1,124.5,60.86,130.9,11571.72,87.06,412.36,278.6,991.38,893.44,40,6,1083,1.578,38,71,41,26,13,7,40,26,27,11,5,213
RP0205,1,185.34,1994.98,3,2,65.47,28.22,57.06,6574.04,43.91,205.91,157.55,478.75,425.39,28,8,547,1.33,21,44,25,14,10,10,22,15,13,9,3,124
RP0206,1,262.57,2826.28,6,2,93.69,43.3,84.51,9464.9,66.52,310.71,241.07,755.95,676.9,48,10,818,1.468,30,58,34,22,15,11,30,23,22,10,5,172
RP0207,2,94.13,1013.21,4,2,38.44,20.7,54.32,8212.69,41.54,110.18,146.46,489.57,488.43,37,11,599,1.763,20,56,23,10,11,10,24,18,16,4,4,139
RP0208,2,179.71,1934.38,7,2,68.62,36.59,95.71,14123.78,87.07,211.27,319.03,1010.05,964.01,48,11,1129,1.845,28,79,43,18,14,11,41,31,30,9,5,218
RP0209,3,115.44,1242.58,7,3,59.26,27.91,87.08,17416.47,99.39,120.28,251.94,985.78,903.84,66,18,1085,2.235,24,91,49,14,19,16,42,30,26,9,5,225
RP0210,2,389.94,4197.28,6,3,188.81,79.37,241.31,32670.57,207.77,458.55,605.01,1979.67,1708.31,48,14,2336,2.017,55,155,87,30,13,15,76,37,46,13,5,398
RP0211,3,272.1,2928.86,5,3,152.75,59.27,202.97,37115.15,216.03,300.79,670.87,1952.17,1906.72,50,17,2374,2.265,47,158,91,23,17,16,75,42,50,11,4,399
RP0212,2,324.23,3489.98,8,4,134.22,62.42,180.37,29670.88,170.05,378.32,483.63,1780.81,1594.52,60,20,1910,2.034,44,134,76,27,16,19,68,37,42,13,5,348
RP0213,2,135.46,1458.08,5,3,62.8,26.19,74.48,11385.66,68.39,159.78,236.19,736.18,627.71,40,14,888,1.732,23,65,36,15,14,14,31,24,19,7,4,171
RP0214,3,382.97,4122.25,8,4,185.28,91.97,282.13,52974.26,306.39,446.24,845.63,3444.1,2906.94,71,22,3374,2.577,59,211,128,33,20,20,128,51,75,12,5,566
RP0215,2,340.1,3660.8,6,3,160.71,64.77,187.9,27098.08,165.79,393.97,580.52,1814.74,1667.98,45,15,1975,2.069,48,126,73,26,15,17,68,37,46,11,5,346
RP0216,3,116.81,1257.33,5,4,67.84,27.95,88.6,16223.25,89.03,141.77,270.15,939.45,774.4,63,20,1135,2.166,27,90,43,13,17,17,38,23,21,9,4,212
RP0217,3,93.03,1001.37,6,3,51.82,22.72,72.1,14201.72,70.37,99.21,241.78,766.93,662.8,55,17,927,2.229,22,81,39,11,17,15,33,27,20,7,5,193
RP0218,3,134.92,1452.27,8,4,67.38,32.61,96.11,20648.33,113.88,148.59,294.3,1254.27,1218.57,72,23,1191,2.376,27,101,55,13,20,20,53,29,35,7,4,260
RP0219,2,300.91,3238.97,6,3,130.96,62.7,167.31,24898.76,141.38,368.76,524.5,1617.8,1652.7,44,14,1800,2.044,44,118,63,26,11,14,63,37,45,10,5,323
RP0220,2,165.56,1782.07,4,3,79.57,33.68,94.24,14658.56,80.45,211.68,245.6,891.5,864.93,39,15,1099,1.847,27,77,41,17,13,15,38,21,24,8,4,200
RP0221,3,266.56,2869.23,8,4,144.9,64.22,195.3,40765.95,222.65,309.83,702.74,2420.83,1997.13,63,18,2416,2.406,43,167,96,23,18,17,94,45,52,11,5,430
RP0222,2,271.93,2927.03,6,3,111.79,54.27,153.06,20138.48,136.72,328.7,443.46,1635.4,1631.15,62,16,1773,1.952,36,104,61,24,16,15,64,32,42,9,4,295
RP0223,1,381.48,4106.21,7,3,146.17,62.89,132.94,14232.5,106.27,449.75,284.06,1093.98,1024.95,56,15,1329,1.575,40,77,51,29,13,15,44,29,29,12,5,233
RP0224,2,348.53,3751.54,5,2,143.36,68.81,193.06,28121.23,167.94,394.81,506.7,1901.03,1859.02,37,11,2194,1.976,46,133,72,26,11,11,74,35,48,12,4,357
RP0225,3,111.49,1200.07,4,3,56.42,26.97,88.99,16249.67,74.59,129.2,294.25,894.72,811.39,51,17,989,2.211,24,87,36,12,17,17,38,26,24,9,3,205
RP0226,1,245.24,2639.74,5,2,75.04,37.12,81.02,8616.3,64.8,267.97,201.34,711.64,691.03,37,9,807,1.503,25,55,34,19,10,10,30,22,21,8,4,162
RP0227,1,327.3,3523.02,7,3,121.74,51.74,107.52,10737.99,83.33,366.23,277.17,906.47,766.82,54,13,984,1.545,36,68,42,24,15,12,39,31,21,11,4,207
RP0228,3,208.23,2241.37,6,4,102.36,49.54,166.15,28435.8,141.87,229.43,459.74,1983.09,1800.02,61,23,1738,2.351,35,132,63,17,19,19,78,35,48,10,4,344
RP0229,1,249.1,2681.29,4,2,87.93,41.75,83.19,9626.11,52.28,270.64,204.27,648.8,576.74,34,10,749,1.465,29,56,27,18,10,11,26,19,19,10,3,155
RP0230,1,147.2,1584.45,5,1,52.31,25.71,47.7,5435.82,35.11,164.79,120.05,418.49,408.67,38,5,447,1.272,22,38,24,14,11,7,20,22,15,8,5,124
RP0231,2,134.09,1443.33,5,3,54.72,29.14,83.4,11860.83,62.87,166.49,241.66,714.17,595.8,45,17,866,1.687,26,69,33,13,15,15,31,20,20,9,4,175
RP0232,2,309.42,3330.57,8,3,121.75,59.89,158.82,25020.01,178.43,357.57,515.47,1856.36,1755.2,60,15,2071,1.97,39,118,79,25,17,14,72,36,47,11,5,337
RP0233,3,281.34,3028.32,6,4,141.56,67.34,220.73,39827.54,211.05,369.14,731.76,2421.19,2424.61,49,17,2368,2.384,46,171,91,25,16,17,92,39,63,11,5,441
RP0234,1,157.88,1699.4,5,2,58.99,24.88,46.2,4510.31,40.78,195.68,121.6,406.11,409.74,38,9,569,1.416,21,38,23,16,11,10,20,17,14,6,4,116
RP0235,1,184.25,1983.25,5,2,69.35,28.19,59.86,6449.16,44.54,220.61,154.18,497.1,425.42,38,9,588,1.312,24,43,25,15,12,10,21,23,15,7,4,133
RP0236,2,397.91,4283.06,8,3,166.3,82.6,214.26,33503.11,220.34,486.21,601.82,2461.01,2266.02,53,14,2382,2.136,51,146,97,31,15,15,92,41,59,13,5,420
RP0237,3,261.82,2818.2,8,4,147.92,61.46,195.48,37222.62,214.28,287.9,601.64,2282.66,2063.12,70,22,2473,2.542,47,161,95,23,20,21,87,43,55,12,5,422
RP0238,2,123.51,1329.45,2,3,55.83,26.5,72.03,11273.93,46.64,153.19,215.59,664.2,628.46,28,17,767,1.558,23,68,22,15,10,16,28,16,19,6,3,159
RP0239,1,309.74,3334.01,6,2,111.74,51.28,112.83,10639.2,73.16,341.09,283.29,837.53,743.95,42,9,904,1.571,32,66,37,22,11,10,34,25,21,12,4,188
RP0240,2,385.91,4153.9,8,3,163.68,80.14,219.53,35317.52,229.52,435.46,561.97,2286.92,2174.64,62,15,2265,2.111,51,152,100,28,17,16,84,41,56,13,5,417
RP0241,3,88.6,953.68,6,4,47.52,23.35,74.4,11613.09,77.48,112.43,224.65,792.12,790.35,61,20,910,2.266,24,70,39,12,18,20,34,27,25,5,5,188
RP0242,1,95.64,1029.46,3,2,36.58,15.2,33.83,3521.75,20.55,108.53,74.99,247.19,250.09,23,10,322,1.174,17,30,15,10,9,12,12,17,12,6,4,91
RP0243,1,372.33,4007.72,8,3,142.0,63.05,131.28,11863.28,102.06,418.14,319.24,1034.82,1045.84,57,12,1218,1.686,42,72,49,27,14,13,41,30,29,12,6,227
RP0244,3,179.64,1933.63,5,5,85.68,44.93,135.48,27847.42,127.7,233.18,425.67,1554.13,1414.32,53,26,1632,2.319,36,126,58,19,17,22,61,33,39,10,5,311
RP0245,1,180.5,1942.88,5,1,64.43,28.76,60.2,6132.37,47.33,214.26,143.83,511.74,434.81,34,6,587,1.337,23,45,26,17,10,7,22,19,16,7,4,131
RP0246,1,343.29,3695.14,6,2,129.76,57.25,123.44,12402.66,86.89,405.74,255.34,1008.66,943.48,43,9,1105,1.517,38,71,41,25,12,10,39,24,26,12,4,209
RP0247,1,84.38,908.26,2,2,32.05,13.27,29.97,2754.37,16.51,104.12,64.23,212.23,194.6,21,10,281,1.11,11,27,13,9,8,12,12,13,9,5,3,76
RP0248,2,83.09,894.37,4,3,39.61,15.75,45.83,7475.01,40.46,93.69,141.38,431.72,387.5,38,16,547,1.762,18,52,22,11,12,15,23,19,13,8,3,131
RP0249,2,384.89,4142.92,8,2,165.32,82.9,214.75,34369.98,235.1,438.87,634.51,2202.98,1933.47,58,11,2400,2.135,52,149,100,29,16,11,83,37,50,13,4,406
RP0250,3,186.32,2005.53,6,4,96.79,42.0,141.4,25849.21,138.51,211.78,497.28,1647.54,1552.91,64,21,1624,2.274,35,121,65,17,20,19,66,34,40,9,3,313
RP0251,1,329.76,3549.5,6,2,105.48,56.16,113.5,11910.29,86.19,402.01,291.68,935.89,820.12,39,10,979,1.54,36,68,42,26,12,11,38,24,24,12,4,201
RP0252,1,374.25,4028.39,8,2,133.07,57.71,118.42,11627.36,94.95,419.62,272.2,1123.42,1134.99,59,9,1203,1.706,37,70,46,27,14,11,43,31,33,13,5,224
RP0253,3,126.63,1363.03,7,3,76.93,29.98,89.06,17963.97,83.63,158.6,326.99,1079.46,1021.17,52,15,1095,2.25,28,90,43,14,17,15,45,28,30,8,5,232
RP0254,2,338.86,3647.46,7,4,155.83,64.45,166.06,30306.73,180.11,405.36,616.41,1930.34,1602.72,53,19,2058,2.104,47,133,79,25,14,19,72,39,43,14,4,356
RP0255,3,161.24,1735.57,6,3,79.82,38.93,128.8,23133.09,128.04,198.64,423.39,1394.69,1305.04,53,18,1423,2.301,31,108,58,18,16,17,52,29,35,9,4,272
RP0256,3,249.15,2681.83,7,3,119.75,54.27,178.57,39940.39,194.12,264.43,612.5,2276.89,2045.9,58,16,2159,2.411,38,161,83,20,18,14,87,42,55,11,5,407
RP0257,3,137.9,1484.34,4,2,73.56,33.88,105.5,22083.22,91.72,153.43,366.61,1087.07,991.34,37,14,1249,2.201,33,105,41,14,13,13,45,26,27,10,4,246
RP0258,2,206.94,2227.48,6,3,94.8,41.67,120.06,18168.44,105.32,263.09,342.81,1194.2,1051.43,48,14,1248,1.853,30,91,50,21,15,12,49,26,29,9,4,240
RP0259,2,81.24,874.46,5,3,37.76,16.79,41.92,7281.36,37.92,92.34,123.5,490.97,423.38,49,15,526,1.677,16,50,22,10,15,15,22,23,16,6,5,131
RP0260,2,283.15,3047.8,5,4,123.98,55.48,166.7,23035.56,123.31,343.65,485.44,1537.47,1370.32,50,19,1724,1.916,38,113,56,22,14,18,61,32,38,10,5,297
RP0261,2,396.12,4263.8,8,3,170.59,82.63,210.23,31629.62,224.64,427.69,623.9,2352.2,2283.84,47,13,2420,2.145,53,142,95,28,14,14,87,40,58,12,4,410
RP0262,1,234.7,2526.29,5,2,95.35,37.95,85.14,8725.15,54.28,244.72,169.8,625.22,589.98,35,9,738,1.447,26,54,28,18,11,11,26,20,18,8,4,150
RP0263,1,195.11,2100.14,4,3,72.99,30.42,64.81,5836.82,43.68,218.3,163.27,490.66,501.1,32,13,667,1.396,23,43,23,17,11,14,21,18,17,9,3,126
RP0264,1,368.15,3962.73,8,2,137.7,55.71,120.19,12785.75,95.8,455.29,279.34,1160.12,1058.59,54,10,1209,1.634,36,74,45,29,15,11,44,25,29,12,4,221
RP0265,1,378.47,4073.81,7,3,131.82,54.69,123.63,12488.96,96.45,472.59,291.9,1131.86,1151.81,52,13,1179,1.706,37,75,47,29,16,13,45,31,33,12,5,232
RP0266,1,367.85,3959.5,6,3,137.17,57.87,121.88,12522.93,84.08,432.51,334.37,978.73,939.47,42,15,1181,1.558,40,72,40,27,13,14,40,31,28,12,4,217
RP0267,2,340.91,3669.52,7,2,140.67,69.77,205.9,28665.24,190.75,433.11,536.05,1983.28,1707.62,53,12,2324,2.031,47,135,84,30,14,11,77,39,46,12,4,369
RP0268,2,217.42,2340.29,5,3,98.97,44.34,113.43,18910.5,108.3,262.11,398.14,1172.58,1131.96,46,15,1396,1.839,31,90,49,19,13,15,47,31,33,9,5,244
RP0269,2,120.8,1300.28,4,3,51.84,24.79,65.5,10609.33,53.17,139.66,185.67,607.85,624.69,38,14,763,1.642,22,61,28,12,14,14,26,24,20,9,4,157
RP0270,1,354.87,3819.79,8,2,133.44,58.41,113.66,11579.51,83.04,416.07,273.96,971.33,919.05,52,9,1134,1.655,42,69,44,26,12,10,37,29,26,10,6,214
RP0271,3,193.98,2087.98,7,3,96.43,45.3,152.64,29530.0,160.72,221.61,483.45,1710.43,1679.05,54,17,1768,2.339,36,130,74,18,17,16,65,35,45,10,5,334
RP0272,3,279.65,3010.12,6,5,157.87,63.98,213.03,42650.63,201.01,312.29,716.8,2342.46,2400.99,68,24,2449,2.489,48,177,85,23,19,21,89,40,61,11,4,440
RP0273,1,207.71,2235.77,4,3,72.15,32.39,76.9,6694.02,48.57,255.86,175.5,548.05,500.96,33,14,676,1.265,23,48,25,19,9,14,23,19,18,9,4,137
RP0274,1,155.87,1677.77,4,3,58.63,24.32,49.94,5656.58,37.55,191.5,116.51,427.14,364.86,36,14,465,1.342,20,38,23,16,10,14,21,16,13,8,3,115
RP0275,1,382.04,4112.24,8,3,139.31,62.82,129.51,13464.31,101.44,488.38,290.39,1118.99,976.2,57,13,1256,1.744,41,76,50,30,15,15,46,28,26,12,5,232
RP0276,2,312.36,3362.21,7,4,157.89,60.18,164.09,28165.37,153.09,354.84,463.01,1873.77,1694.32,57,21,1948,2.221,44,123,68,24,15,19,74,36,45,10,5,341
RP0277,3,118.22,1272.51,6,4,58.43,28.22,95.44,16840.57,84.91,128.85,320.52,947.91,838.16,62,21,1075,2.267,24,93,40,14,19,20,39,27,25,7,4,216
RP0278,3,148.07,1593.81,6,3,79.1,38.22,121.54,23148.77,115.15,159.16,365.2,1254.66,1065.94,57,17,1356,2.274,30,113,54,14,17,14,51,27,29,10,3,265
RP0279,2,394.05,4241.51,8,3,159.21,77.19,211.52,31671.17,213.26,472.14,681.42,2276.04,2061.91,61,17,2213,2.155,50,144,92,30,18,15,86,41,54,15,5,404
RP0280,2,99.48,1070.79,5,2,40.38,18.87,54.82,8540.87,42.87,115.96,176.09,537.51,521.19,43,10,622,1.782,18,57,24,10,14,10,24,23,18,6,4,142
RP0281,2,189.66,2041.48,6,3,76.66,36.66,105.49,16363.72,95.03,223.89,332.59,1057.58,1044.58,51,15,1114,1.861,27,85,48,18,14,15,42,28,29,8,4,223
RP0282,3,105.26,1133.01,6,3,56.62,24.33,81.96,15728.0,72.16,123.77,251.97,895.25,832.33,61,15,1008,2.189,25,86,41,13,19,15,37,25,25,8,5,210
RP0283,2,348.22,3748.21,7,3,143.97,72.3,191.23,30073.45,181.74,400.87,523.66,2088.11,1956.35,56,15,2075,2.035,47,134,80,27,14,15,78,37,51,12,4,371
RP0284,3,206.09,2218.33,7,3,110.09,50.65,142.23,33958.66,168.4,234.07,548.28,1859.86,1796.48,64,16,1822,2.363,39,139,77,21,20,17,72,36,47,8,5,357
RP0285,3,241.38,2598.19,6,3,132.64,53.29,186.27,33686.66,166.86,285.49,619.53,1919.43,1694.84,45,14,2332,2.449,41,148,73,22,15,15,74,38,45,11,4,365
RP0286,2,247.86,2667.94,6,3,107.96,51.85,128.44,20232.66,125.13,275.77,370.81,1505.07,1387.82,50,15,1623,1.926,37,101,57,20,14,14,59,29,37,11,4,279
RP0287,2,214.06,2304.12,7,3,95.2,44.4,122.13,16186.46,119.86,259.48,366.98,1197.66,1164.82,59,15,1348,1.956,34,89,56,19,16,16,48,29,32,9,5,249
RP0288,2,233.2,2510.14,6,3,101.54,47.36,136.9,20469.38,109.71,262.17,399.68,1408.11,1290.75,52,16,1539,1.938,35,99,54,20,15,14,56,30,36,10,4,270
RP0289,3,290.1,3122.61,7,4,148.57,72.11,235.69,40627.54,213.65,326.0,761.94,2467.72,2425.77,71,21,2670,2.363,51,173,92,24,20,20,95,45,64,12,4,454
RP0290,1,333.64,3591.27,5,2,123.41,55.22,112.89,11506.21,84.8,400.0,268.25,919.12,761.18,35,9,1040,1.475,36,65,41,26,10,10,37,24,24,9,3,196
RP0291,1,242.16,2606.59,6,2,87.14,37.89,87.8,8310.72,60.83,276.81,187.63,707.46,629.91,44,10,765,1.465,28,59,34,20,13,10,29,25,21,8,4,169
RP0292,3,345.3,3716.77,8,5,182.21,81.61,280.71,54894.27,268.15,401.07,828.42,3020.93,2983.36,78,24,2970,2.549,54,219,113,27,20,21,113,43,74,11,5,542
RP0293,2,160.71,1729.87,7,4,71.98,30.55,83.13,13407.73,91.11,176.35,267.39,830.4,764.18,55,19,1011,1.839,25,73,46,15,15,19,36,27,23,9,4,195
RP0294,3,267.65,2880.96,6,3,157.45,62.62,201.96,38469.33,203.5,303.5,696.61,2278.84,2287.79,60,18,2525,2.379,46,165,86,22,18,18,87,41,58,12,4,421
