project_id,district,construction_type,soil_type,built_up_area_sqft,num_floors,num_rooms,num_bathrooms,total_cost_lkr,labor_hours_total,material_cost_lkr,contractor_experience_years,start_month,num_workers,had_delays,preconstruction_weeks,siteprep_weeks,foundation_weeks,structure_weeks,envelope_weeks,mep_weeks,finishes_weeks,external_weeks,total_weeks
PRJ-0128,Ratnapura,Residential,Loam,2739.0,4.0,13.0,4.0,89963000.0,14589.0,53282000.0,8.0,7.0,43.0,1,5.9,1.5,4.5,9.9,4.6,4.0,7.1,1.5,39.0
PRJ-0129,Kegalle,Mixed-Use,Loam,4753.0,5.0,21.0,10.0,158942000.0,39547.0,101181000.0,8.0,12.0,6.0,1,6.0,1.7,5.5,13.4,6.2,5.8,8.9,2.0,49.5
PRJ-0130,Matale,Residential,Rocky,11373.0,4.0,15.0,6.0,295591000.0,98160.0,170402000.0,23.0,7.0,5.0,0,5.3,3.5,7.0,12.5,6.5,4.5,8.1,3.0,50.4
PRJ-0131,Kalutara,Mixed-Use,Alluvial,1768.0,4.0,15.0,8.0,37400000.0,12862.0,21512000.0,26.0,9.0,55.0,0,5.8,1.6,4.3,9.2,4.1,4.8,6.8,1.4,38.0
PRJ-0132,Mannar,Residential,Rocky,10308.0,4.0,12.0,4.0,241401000.0,86243.0,122520000.0,20.0,11.0,40.0,0,4.6,3.4,6.9,11.8,6.3,3.9,7.8,2.9,47.6
PRJ-0133,Matara,Industrial,Sandy,10035.0,2.0,9.0,4.0,189994000.0,37473.0,95992000.0,15.0,11.0,28.0,1,5.3,2.7,5.1,9.6,5.2,3.2,7.3,3.3,41.7
PRJ-0134,Monaragala,Residential,Clay,1081.0,5.0,17.0,8.0,25689000.0,8802.0,14968000.0,4.0,10.0,58.0,0,6.5,2.0,5.7,10.4,4.7,5.1,7.3,1.2,42.9
PRJ-0135,Kalutara,Mixed-Use,Sandy,11836.0,4.0,19.0,7.0,365326000.0,50603.0,206675000.0,19.0,5.0,31.0,0,6.0,3.0,6.1,13.2,6.6,4.9,8.7,3.2,51.7
PRJ-0136,Colombo,Residential,Loam,7062.0,5.0,19.0,6.0,306208000.0,61205.0,191649000.0,21.0,1.0,6.0,0,5.0,1.9,5.3,12.6,6.2,4.9,8.2,2.2,46.3
PRJ-0137,Kalutara,Commercial,Clay,1858.0,3.0,7.0,3.0,34658000.0,9324.0,18164000.0,3.0,2.0,35.0,0,5.6,2.1,4.6,7.3,3.6,3.2,5.7,1.7,33.8
PRJ-0138,Matale,Mixed-Use,Loam,5093.0,3.0,12.0,6.0,139512000.0,25110.0,70279000.0,13.0,4.0,18.0,1,4.8,1.7,4.4,9.7,4.8,4.0,7.3,2.0,38.7
PRJ-0139,Ampara,Residential,Loam,11524.0,4.0,11.0,4.0,292411000.0,68485.0,165901000.0,8.0,5.0,6.0,1,5.7,2.6,5.4,12.8,6.9,3.9,8.2,3.0,48.5
PRJ-0140,Batticaloa,Commercial,Sandy,12820.0,5.0,20.0,9.0,596794000.0,98722.0,319656000.0,23.0,9.0,33.0,1,6.8,3.1,7.3,16.0,8.0,5.6,10.0,3.5,60.3
PRJ-0141,Kalutara,Commercial,Laterite,5978.0,5.0,11.0,4.0,211885000.0,37907.0,107519000.0,16.0,11.0,19.0,0,6.1,2.1,5.5,11.6,5.9,4.1,7.4,2.4,45.1
PRJ-0142,Colombo,Residential,Clay,7780.0,5.0,12.0,6.0,202969000.0,59402.0,123545000.0,13.0,1.0,16.0,1,5.2,2.7,7.3,13.9,7.1,4.4,8.8,2.3,51.7
PRJ-0143,Matale,Commercial,Clay,14272.0,2.0,9.0,3.0,186324000.0,30730.0,96281000.0,3.0,3.0,41.0,0,5.1,3.5,5.7,10.4,5.9,3.1,7.5,3.7,44.9
PRJ-0144,Ratnapura,Commercial,Rocky,10000.0,3.0,8.0,4.0,180646000.0,57817.0,106807000.0,16.0,5.0,32.0,0,6.1,3.4,6.3,10.1,5.4,3.4,7.0,2.9,44.6
PRJ-0145,Batticaloa,Industrial,Loam,2029.0,5.0,22.0,8.0,75779000.0,10755.0,41084000.0,9.0,3.0,24.0,0,6.8,1.4,4.6,11.4,5.0,5.5,7.5,1.9,44.1
PRJ-0146,Galle,Residential,Rocky,10027.0,5.0,14.0,5.0,375460000.0,46072.0,197501000.0,28.0,4.0,43.0,0,4.8,3.4,7.3,13.2,6.8,4.4,8.4,2.7,51.0
PRJ-0147,Hambantota,Residential,Loam,5385.0,2.0,7.0,2.0,91196000.0,15194.0,50793000.0,14.0,3.0,28.0,0,3.9,1.8,3.6,7.0,3.8,2.7,5.8,1.9,30.5
PRJ-0148,Ampara,Mixed-Use,Sandy,9267.0,2.0,8.0,2.0,173999000.0,31909.0,107917000.0,13.0,4.0,25.0,0,4.5,2.6,4.7,8.5,4.6,2.8,6.5,2.8,37.0
PRJ-0149,Ampara,Industrial,Laterite,3540.0,5.0,17.0,7.0,187909000.0,25007.0,105006000.0,21.0,1.0,14.0,1,6.6,1.8,5.6,12.1,5.7,4.9,8.1,2.2,47.0
PRJ-0150,Jaffna,Residential,Laterite,3089.0,1.0,2.0,1.0,15436000.0,3668.0,9456000.0,25.0,12.0,50.0,0,3.1,1.7,3.2,4.7,2.5,2.0,3.5,1.6,22.3
PRJ-0151,Vavuniya,Commercial,Rocky,2039.0,5.0,13.0,7.0,73931000.0,16123.0,38357000.0,7.0,8.0,18.0,1,7.3,2.5,7.1,11.5,5.5,4.8,7.7,1.7,48.1
PRJ-0152,Anuradhapura,Residential,Sandy,6170.0,5.0,10.0,3.0,181834000.0,39667.0,111994000.0,15.0,4.0,41.0,0,5.2,2.3,5.8,11.5,6.0,3.8,7.2,2.1,43.9
PRJ-0153,Galle,Residential,Loam,925.0,2.0,5.0,2.0,10406000.0,3896.0,5573000.0,7.0,7.0,22.0,0,4.9,1.2,3.0,5.7,2.6,2.6,5.0,1.3,26.3
PRJ-0154,Kurunegala,Residential,Sandy,13057.0,2.0,7.0,2.0,178033000.0,54623.0,107106000.0,6.0,2.0,28.0,0,4.1,3.2,5.1,9.8,5.6,2.7,7.0,3.2,40.7
PRJ-0155,Polonnaruwa,Residential,Clay,13304.0,5.0,24.0,7.0,459653000.0,100001.0,268836000.0,2.0,2.0,18.0,0,5.6,3.4,7.2,15.4,7.7,5.4,9.7,3.3,57.7
PRJ-0156,Kandy,Commercial,Alluvial,8273.0,5.0,23.0,7.0,315718000.0,52080.0,201861000.0,9.0,6.0,38.0,0,7.2,2.2,5.7,13.7,6.4,5.3,8.9,2.7,52.1
PRJ-0157,Matale,Residential,Clay,12860.0,5.0,21.0,8.0,391719000.0,117797.0,218618000.0,22.0,2.0,16.0,0,5.0,3.4,7.1,15.0,7.4,5.4,9.3,3.2,55.8
PRJ-0158,Ratnapura,Mixed-Use,Alluvial,10200.0,2.0,8.0,3.0,193041000.0,17369.0,98436000.0,24.0,6.0,26.0,1,5.0,2.5,4.7,9.9,5.3,3.0,7.2,2.9,40.5
PRJ-0159,Galle,Mixed-Use,Loam,6142.0,5.0,19.0,8.0,284362000.0,44980.0,142998000.0,17.0,11.0,60.0,0,5.7,1.9,5.2,12.2,5.9,5.3,8.1,2.3,46.6
PRJ-0160,Vavuniya,Commercial,Clay,8151.0,5.0,13.0,5.0,299808000.0,51794.0,187089000.0,5.0,2.0,10.0,0,6.5,2.8,6.4,12.5,6.4,4.4,7.9,2.7,49.6
PRJ-0161,Ampara,Residential,Loam,7438.0,4.0,18.0,8.0,256226000.0,62144.0,148281000.0,12.0,4.0,40.0,0,4.8,2.1,4.8,11.6,5.5,4.9,8.0,2.3,44.0
PRJ-0162,Kilinochchi,Residential,Laterite,7370.0,1.0,4.0,1.0,64765000.0,6020.0,39914000.0,1.0,7.0,49.0,0,4.7,2.3,3.6,6.4,3.6,2.2,5.3,2.3,30.4
PRJ-0163,Kandy,Industrial,Rocky,4049.0,3.0,11.0,4.0,101530000.0,19119.0,54335000.0,10.0,8.0,40.0,0,6.8,2.8,5.5,8.6,4.0,3.6,6.4,2.2,39.9
PRJ-0164,Vavuniya,Commercial,Laterite,9910.0,1.0,2.0,1.0,75501000.0,18204.0,41659000.0,11.0,3.0,26.0,1,4.4,2.5,4.3,7.5,4.2,2.0,5.4,2.9,33.2
PRJ-0165,Galle,Residential,Rocky,8395.0,4.0,13.0,5.0,227516000.0,49666.0,114785000.0,16.0,9.0,18.0,0,5.7,3.2,6.7,11.4,5.8,4.1,7.5,2.4,46.8
PRJ-0166,Anuradhapura,Industrial,Rocky,14405.0,3.0,10.0,5.0,528479000.0,39739.0,340459000.0,14.0,2.0,20.0,0,5.8,4.0,6.9,11.9,6.4,3.8,7.9,3.9,50.6
PRJ-0167,Monaragala,Industrial,Laterite,12915.0,5.0,22.0,8.0,763329000.0,139575.0,458135000.0,8.0,8.0,40.0,0,7.7,2.9,6.5,15.0,7.5,5.5,9.5,3.7,58.3
PRJ-0168,Gampaha,Mixed-Use,Sandy,7094.0,4.0,14.0,7.0,161907000.0,43279.0,103617000.0,24.0,8.0,60.0,1,5.8,2.4,5.7,11.1,5.8,4.5,7.8,2.4,45.5
PRJ-0169,Jaffna,Commercial,Loam,7327.0,5.0,15.0,7.0,287003000.0,60809.0,154931000.0,17.0,4.0,29.0,0,6.2,2.0,5.4,12.3,6.2,4.9,8.0,2.5,47.5
PRJ-0170,Vavuniya,Commercial,Sandy,6557.0,2.0,9.0,4.0,114586000.0,14835.0,67803000.0,25.0,1.0,36.0,0,4.4,2.3,4.3,8.0,4.0,3.1,6.2,2.4,34.7
PRJ-0171,Mullaitivu,Residential,Alluvial,13395.0,4.0,9.0,5.0,362420000.0,79132.0,218095000.0,18.0,1.0,37.0,0,4.6,2.8,5.7,12.5,6.9,3.8,7.9,3.5,47.7
PRJ-0172,Badulla,Mixed-Use,Alluvial,14447.0,2.0,6.0,2.0,178514000.0,40475.0,97760000.0,12.0,2.0,49.0,0,4.5,3.0,4.9,10.2,5.8,2.6,7.3,3.7,42.0
PRJ-0173,Nuwara Eliya,Industrial,Clay,2769.0,4.0,8.0,2.0,129706000.0,10022.0,81354000.0,25.0,12.0,40.0,1,5.9,2.2,5.7,9.4,4.8,3.3,6.7,2.0,40.0
PRJ-0174,Mannar,Residential,Rocky,11785.0,4.0,16.0,8.0,355729000.0,44718.0,228404000.0,17.0,9.0,24.0,0,5.6,3.6,7.0,13.0,6.6,4.9,8.4,3.0,52.1
PRJ-0175,Mannar,Residential,Alluvial,1691.0,2.0,9.0,4.0,27971000.0,6671.0,17698000.0,28.0,2.0,22.0,0,3.5,1.5,3.3,6.4,2.8,3.3,5.5,1.3,27.6
PRJ-0176,Polonnaruwa,Residential,Clay,5270.0,3.0,8.0,2.0,132242000.0,17956.0,80781000.0,26.0,2.0,42.0,0,4.0,2.5,5.1,8.4,4.5,3.1,6.2,1.9,35.7
PRJ-0177,Kilinochchi,Industrial,Loam,7975.0,1.0,4.0,1.0,87842000.0,8557.0,47577000.0,14.0,6.0,7.0,0,5.7,2.2,3.3,6.6,3.7,2.1,5.5,2.8,31.9
PRJ-0178,Ratnapura,Mixed-Use,Alluvial,11025.0,5.0,14.0,4.0,410566000.0,83067.0,222626000.0,16.0,7.0,27.0,1,6.6,2.6,6.4,14.6,7.7,4.3,9.0,3.0,54.2
PRJ-0179,Mullaitivu,Residential,Clay,10356.0,4.0,18.0,6.0,300219000.0,77722.0,193492000.0,14.0,7.0,36.0,0,5.7,3.0,6.2,12.6,6.2,4.6,8.4,2.7,49.4
PRJ-0180,Galle,Commercial,Rocky,9120.0,5.0,21.0,11.0,297634000.0,40435.0,149276000.0,9.0,9.0,49.0,0,7.3,3.3,7.3,13.6,6.7,5.9,8.8,2.8,55.7
PRJ-0181,Colombo,Residential,Sandy,10006.0,2.0,8.0,3.0,150718000.0,32170.0,91547000.0,4.0,6.0,20.0,0,5.0,2.8,4.7,9.0,4.8,3.1,6.7,2.7,38.8
PRJ-0182,Colombo,Mixed-Use,Alluvial,10791.0,5.0,10.0,4.0,329268000.0,52169.0,199516000.0,25.0,8.0,9.0,0,6.4,2.6,6.0,13.0,7.0,4.0,7.9,3.0,49.9
PRJ-0183,Mullaitivu,Industrial,Alluvial,7612.0,2.0,9.0,3.0,162469000.0,12956.0,96410000.0,23.0,11.0,8.0,0,5.1,2.2,4.0,8.5,4.2,3.0,6.5,2.8,36.3
PRJ-0184,Mullaitivu,Industrial,Alluvial,8319.0,5.0,20.0,6.0,322214000.0,36347.0,208961000.0,11.0,6.0,25.0,0,7.7,2.3,5.7,13.1,6.4,5.0,8.5,2.8,51.5
PRJ-0185,Polonnaruwa,Residential,Loam,14469.0,1.0,2.0,1.0,72764000.0,28473.0,39786000.0,6.0,2.0,44.0,1,3.6,2.9,4.4,8.9,5.5,2.0,5.4,3.5,36.2
PRJ-0186,Vavuniya,Residential,Laterite,5412.0,1.0,4.0,1.0,28379000.0,5223.0,15637000.0,15.0,1.0,55.0,0,3.3,2.0,3.4,5.7,3.0,2.1,4.1,2.0,25.6
PRJ-0187,Hambantota,Residential,Laterite,10510.0,1.0,2.0,1.0,47389000.0,9072.0,24256000.0,5.0,5.0,18.0,0,4.6,2.7,4.1,7.1,4.2,2.0,4.4,2.8,31.9
PRJ-0188,Kalutara,Residential,Sandy,13173.0,1.0,4.0,2.0,101884000.0,18614.0,57709000.0,11.0,9.0,43.0,0,4.4,3.0,4.7,8.2,4.8,2.3,6.1,3.3,36.8
PRJ-0189,Galle,Industrial,Laterite,1998.0,1.0,2.0,1.0,21806000.0,3959.0,11757000.0,25.0,8.0,35.0,0,5.5,1.6,3.0,4.3,2.3,2.0,4.5,1.9,25.1
PRJ-0190,Nuwara Eliya,Industrial,Clay,12865.0,1.0,4.0,2.0,122785000.0,15018.0,67717000.0,18.0,4.0,18.0,0,4.8,3.4,5.0,8.2,4.8,2.3,6.3,3.6,38.4
PRJ-0191,Matara,Mixed-Use,Loam,6038.0,2.0,7.0,3.0,72577000.0,16790.0,45374000.0,30.0,5.0,10.0,0,4.8,1.9,3.6,7.4,3.9,3.0,6.0,2.2,32.8
PRJ-0192,Hambantota,Mixed-Use,Sandy,11466.0,4.0,9.0,4.0,257178000.0,39255.0,164677000.0,13.0,5.0,16.0,0,6.1,2.9,6.0,12.0,6.5,3.7,7.6,3.1,47.9
PRJ-0193,Matale,Commercial,Clay,6889.0,5.0,13.0,5.0,197459000.0,49212.0,104231000.0,11.0,6.0,20.0,0,7.2,2.7,6.3,12.0,6.0,4.4,8.0,2.4,49.0
PRJ-0194,Colombo,Commercial,Clay,12477.0,1.0,2.0,1.0,81816000.0,20071.0,45480000.0,14.0,3.0,21.0,0,4.4,3.3,5.0,7.9,4.6,2.1,5.4,3.4,36.1
PRJ-0195,Anuradhapura,Mixed-Use,Rocky,7057.0,2.0,6.0,2.0,138108000.0,22572.0,88292000.0,28.0,5.0,49.0,1,4.8,3.1,5.7,8.2,4.4,2.7,6.3,2.4,37.6
PRJ-0196,Jaffna,Industrial,Sandy,13041.0,2.0,5.0,1.0,204005000.0,33004.0,103894000.0,18.0,2.0,27.0,0,5.2,3.0,5.1,9.6,5.5,2.4,6.8,3.7,41.3
PRJ-0197,Mannar,Residential,Rocky,8505.0,2.0,7.0,2.0,103663000.0,21122.0,53268000.0,27.0,10.0,18.0,1,4.3,3.3,6.0,8.6,4.7,2.8,6.4,2.5,38.6
PRJ-0198,Kegalle,Residential,Clay,4519.0,4.0,11.0,4.0,89911000.0,17159.0,47151000.0,28.0,1.0,11.0,0,4.3,2.3,5.5,9.8,4.9,3.8,6.7,1.8,39.1
PRJ-0199,Ampara,Residential,Sandy,1102.0,5.0,14.0,6.0,30308000.0,7237.0,17860000.0,25.0,11.0,50.0,0,4.8,1.7,5.2,10.0,4.8,4.6,6.9,1.2,39.2
PRJ-0200,Monaragala,Mixed-Use,Loam,12944.0,4.0,16.0,8.0,407062000.0,48633.0,212719000.0,28.0,1.0,36.0,0,4.8,2.6,5.4,12.9,6.9,4.9,8.6,3.4,49.5
PRJ-0201,Kegalle,Commercial,Laterite,13675.0,3.0,6.0,2.0,371014000.0,76849.0,239382000.0,19.0,10.0,19.0,0,6.0,3.1,5.6,11.2,6.3,2.9,7.5,3.6,46.2
PRJ-0202,Hambantota,Residential,Sandy,1786.0,2.0,9.0,2.0,20018000.0,7690.0,11350000.0,24.0,7.0,48.0,0,4.4,1.8,3.6,6.3,2.9,3.0,5.6,1.4,29.0
PRJ-0203,Polonnaruwa,Commercial,Rocky,10855.0,3.0,13.0,7.0,193753000.0,70279.0,111452000.0,27.0,2.0,21.0,1,4.8,3.5,7.2,12.5,6.4,4.2,8.5,3.2,50.3
PRJ-0204,Kurunegala,Commercial,Laterite,5240.0,1.0,4.0,2.0,41001000.0,10538.0,22017000.0,15.0,4.0,45.0,0,4.4,2.1,3.4,5.7,3.2,2.2,4.9,2.3,28.2
PRJ-0205,Kurunegala,Residential,Rocky,5709.0,1.0,3.0,1.0,31707000.0,9369.0,18093000.0,9.0,5.0,58.0,0,4.5,2.9,4.8,5.8,3.2,2.1,4.1,2.1,29.5
PRJ-0206,Polonnaruwa,Residential,Sandy,3872.0,4.0,18.0,10.0,84998000.0,27587.0,50938000.0,8.0,7.0,51.0,1,5.8,2.1,5.5,11.1,5.1,5.4,8.1,1.6,44.7
PRJ-0207,Mannar,Commercial,Clay,14398.0,5.0,12.0,5.0,793634000.0,86337.0,486241000.0,20.0,2.0,48.0,0,6.0,3.5,7.3,14.5,7.9,4.3,8.7,3.7,55.9
PRJ-0208,Galle,Residential,Laterite,14765.0,3.0,6.0,3.0,322173000.0,74552.0,197518000.0,28.0,6.0,38.0,0,4.8,3.1,5.7,11.7,6.7,3.1,7.5,3.6,46.2
PRJ-0209,Gampaha,Commercial,Clay,3924.0,5.0,13.0,4.0,171821000.0,28212.0,100805000.0,1.0,1.0,9.0,0,6.6,2.3,5.9,10.8,5.4,4.3,7.1,2.0,44.4
PRJ-0210,Kalutara,Residential,Laterite,10319.0,4.0,17.0,6.0,262969000.0,60875.0,167157000.0,4.0,7.0,49.0,1,5.9,2.6,6.3,14.1,7.0,4.6,9.2,2.8,52.5
PRJ-0211,Kurunegala,Industrial,Loam,14180.0,1.0,2.0,1.0,127653000.0,26387.0,79478000.0,14.0,9.0,31.0,0,5.8,2.9,4.1,8.7,5.2,2.1,6.4,3.9,39.1
PRJ-0212,Matale,Commercial,Alluvial,11400.0,5.0,18.0,6.0,494053000.0,68097.0,303130000.0,25.0,5.0,56.0,1,6.7,2.6,6.7,15.6,7.9,4.8,9.6,3.3,57.2
PRJ-0213,Kurunegala,Commercial,Laterite,12665.0,5.0,24.0,8.0,604274000.0,78856.0,307177000.0,2.0,5.0,27.0,1,7.3,2.9,6.7,15.9,7.8,5.6,9.9,3.5,59.6
PRJ-0214,Kegalle,Industrial,Alluvial,8925.0,1.0,4.0,1.0,95707000.0,18693.0,47952000.0,16.0,4.0,44.0,0,4.9,2.3,3.7,6.9,3.8,2.2,5.8,3.0,32.6
PRJ-0215,Kurunegala,Residential,Sandy,4091.0,3.0,10.0,5.0,64711000.0,10784.0,34418000.0,3.0,3.0,18.0,0,4.7,2.2,4.5,8.3,4.0,3.7,6.2,1.7,35.3
PRJ-0216,Kurunegala,Residential,Laterite,4833.0,1.0,2.0,1.0,32625000.0,7152.0,19560000.0,26.0,9.0,19.0,0,4.1,2.0,3.4,5.4,2.9,2.0,4.4,1.9,26.1
PRJ-0217,Gampaha,Residential,Loam,5905.0,5.0,22.0,7.0,187596000.0,61351.0,105369000.0,8.0,5.0,47.0,1,6.2,1.9,5.7,13.9,6.6,5.3,9.3,2.0,50.9
PRJ-0218,Gampaha,Commercial,Loam,1503.0,3.0,11.0,5.0,47442000.0,7460.0,26585000.0,6.0,8.0,37.0,0,6.4,1.3,3.5,7.5,3.5,3.8,6.0,1.6,33.6
PRJ-0219,Monaragala,Commercial,Rocky,8933.0,3.0,7.0,3.0,245927000.0,41940.0,155595000.0,16.0,9.0,57.0,0,6.1,3.3,6.2,9.6,5.3,3.2,6.7,2.9,43.3
PRJ-0220,Ratnapura,Commercial,Laterite,1374.0,1.0,2.0,1.0,11844000.0,1580.0,7513000.0,24.0,5.0,35.0,0,5.0,1.5,2.9,4.3,2.1,2.0,4.4,1.5,23.7
PRJ-0221,Matale,Residential,Alluvial,6504.0,5.0,23.0,11.0,163227000.0,41645.0,103874000.0,16.0,10.0,39.0,0,6.0,2.1,5.5,13.0,6.0,6.0,8.7,2.1,49.4
PRJ-0222,Colombo,Residential,Laterite,12224.0,4.0,16.0,6.0,353292000.0,97443.0,193280000.0,7.0,9.0,21.0,1,5.8,2.8,6.2,13.8,7.1,4.4,9.0,3.2,52.3
PRJ-0223,Colombo,Residential,Loam,8648.0,5.0,22.0,8.0,217386000.0,68445.0,131227000.0,30.0,2.0,32.0,0,4.7,2.2,5.5,13.6,6.5,5.5,8.7,2.6,49.3
PRJ-0224,Anuradhapura,Residential,Loam,6008.0,2.0,9.0,5.0,72305000.0,18272.0,39099000.0,13.0,9.0,23.0,0,4.8,1.9,3.6,7.7,3.9,3.3,6.2,2.1,33.5
PRJ-0225,Gampaha,Commercial,Rocky,13775.0,4.0,14.0,5.0,354210000.0,51762.0,187232000.0,13.0,11.0,50.0,1,5.7,3.8,8.0,14.6,7.7,4.2,9.2,3.6,56.8
PRJ-0226,Badulla,Residential,Sandy,7724.0,3.0,10.0,4.0,176439000.0,19058.0,93106000.0,5.0,4.0,58.0,0,4.6,2.4,5.0,9.6,5.0,3.6,7.0,2.4,39.6
PRJ-0227,Mannar,Residential,Clay,11624.0,4.0,13.0,7.0,252387000.0,99927.0,139145000.0,25.0,6.0,27.0,1,5.4,3.2,6.7,12.9,6.9,4.5,8.4,3.1,51.1
PRJ-0228,Nuwara Eliya,Industrial,Sandy,4628.0,3.0,8.0,4.0,121745000.0,18435.0,68724000.0,20.0,6.0,36.0,1,6.5,2.2,4.8,8.6,4.4,3.5,6.2,2.2,38.4
PRJ-0229,Ratnapura,Residential,Sandy,4030.0,3.0,9.0,2.0,103134000.0,19882.0,64422000.0,22.0,6.0,44.0,0,5.1,2.0,4.5,8.3,4.2,3.1,6.1,1.7,35.0
PRJ-0230,Kandy,Residential,Sandy,1288.0,4.0,17.0,5.0,27921000.0,4697.0,14463000.0,18.0,2.0,17.0,0,4.7,1.8,4.7,9.3,4.1,4.4,7.0,1.3,37.3
PRJ-0231,Ratnapura,Commercial,Sandy,7914.0,3.0,11.0,3.0,201365000.0,41699.0,122881000.0,15.0,7.0,24.0,1,6.1,2.5,5.4,10.7,5.5,3.4,7.6,2.7,43.9
PRJ-0232,Kilinochchi,Residential,Clay,10339.0,3.0,14.0,6.0,198097000.0,65309.0,114840000.0,18.0,6.0,39.0,1,5.2,3.2,6.4,11.9,6.2,4.1,8.3,2.8,48.1
PRJ-0233,Kegalle,Commercial,Clay,12673.0,2.0,6.0,2.0,145155000.0,40704.0,78847000.0,2.0,11.0,9.0,0,5.1,3.2,5.6,9.5,5.5,2.7,6.8,3.5,41.9
PRJ-0234,Kurunegala,Industrial,Alluvial,3973.0,5.0,19.0,6.0,224363000.0,19399.0,128767000.0,10.0,1.0,13.0,0,6.8,1.8,5.1,11.7,5.4,5.0,7.7,2.1,45.6
PRJ-0235,Nuwara Eliya,Mixed-Use,Loam,13581.0,5.0,19.0,11.0,375672000.0,109627.0,204738000.0,23.0,2.0,33.0,0,5.5,2.7,6.1,14.9,7.5,5.8,9.2,3.4,55.1
PRJ-0236,Kegalle,Residential,Loam,2467.0,2.0,7.0,3.0,32733000.0,9241.0,19293000.0,13.0,7.0,10.0,0,4.8,1.3,3.2,6.2,3.0,2.9,5.6,1.4,28.4
PRJ-0237,Matale,Mixed-Use,Rocky,10629.0,4.0,16.0,5.0,343381000.0,58204.0,194037000.0,18.0,1.0,29.0,0,5.1,3.5,6.9,12.5,6.3,4.3,8.2,3.0,49.8
PRJ-0238,Polonnaruwa,Residential,Sandy,4914.0,1.0,2.0,1.0,36009000.0,9984.0,18893000.0,15.0,1.0,35.0,0,3.3,2.2,3.6,5.3,2.9,2.0,4.7,1.9,25.9
PRJ-0239,Gampaha,Residential,Alluvial,4353.0,1.0,3.0,1.0,33078000.0,7436.0,17117000.0,12.0,1.0,26.0,1,3.5,1.8,3.2,5.5,2.9,2.1,4.8,1.7,25.5
PRJ-0240,Nuwara Eliya,Residential,Laterite,8561.0,1.0,2.0,1.0,48282000.0,17627.0,28100000.0,15.0,8.0,6.0,0,4.3,2.4,3.9,6.8,3.8,2.1,4.6,2.4,30.3
PRJ-0241,Monaragala,Mixed-Use,Clay,1800.0,2.0,6.0,2.0,18816000.0,6022.0,11955000.0,13.0,4.0,49.0,0,4.4,2.2,4.1,6.1,2.9,2.6,5.4,1.5,29.2
PRJ-0242,Kilinochchi,Residential,Loam,9842.0,2.0,6.0,3.0,152659000.0,19365.0,84206000.0,18.0,4.0,9.0,0,3.8,2.3,4.0,8.8,4.7,2.8,6.5,2.8,35.7
PRJ-0243,Trincomalee,Residential,Laterite,2188.0,3.0,11.0,4.0,45360000.0,8097.0,27667000.0,15.0,2.0,31.0,0,4.3,1.7,4.0,7.8,3.6,3.6,6.1,1.5,32.6
PRJ-0244,Trincomalee,Commercial,Alluvial,6250.0,1.0,4.0,1.0,64551000.0,6766.0,38653000.0,25.0,11.0,29.0,0,4.0,2.0,3.3,6.2,3.3,2.0,5.5,2.4,28.7
PRJ-0245,Colombo,Residential,Loam,4512.0,4.0,15.0,6.0,147926000.0,37402.0,94633000.0,23.0,11.0,12.0,1,4.5,1.7,4.6,10.5,5.0,4.4,7.5,1.8,40.0
PRJ-0246,Hambantota,Residential,Rocky,2167.0,4.0,16.0,5.0,71901000.0,16162.0,44805000.0,11.0,11.0,59.0,0,4.8,2.5,5.8,9.4,4.3,4.3,6.9,1.4,39.4
PRJ-0247,Nuwara Eliya,Residential,Clay,8989.0,1.0,3.0,1.0,60073000.0,15703.0,35142000.0,19.0,1.0,5.0,1,3.3,2.9,4.8,6.9,4.0,2.0,5.1,2.6,31.6
PRJ-0248,Trincomalee,Residential,Alluvial,9813.0,1.0,3.0,1.0,58891000.0,11985.0,35249000.0,3.0,12.0,24.0,1,3.8,2.5,3.9,7.5,4.2,2.1,5.0,2.7,31.7
PRJ-0249,Kalutara,Residential,Sandy,1254.0,1.0,2.0,1.0,10110000.0,1326.0,6417000.0,7.0,10.0,48.0,0,4.5,1.8,3.0,4.1,2.1,2.0,4.2,1.3,23.0
PRJ-0250,Polonnaruwa,Residential,Alluvial,10616.0,2.0,5.0,1.0,138662000.0,39471.0,77641000.0,21.0,9.0,27.0,0,4.6,2.6,4.4,8.8,4.8,2.4,6.5,2.7,36.8
PRJ-0251,Kandy,Commercial,Rocky,3572.0,2.0,6.0,3.0,47557000.0,10458.0,26110000.0,26.0,7.0,36.0,0,5.3,2.6,4.9,6.5,3.4,2.9,5.4,1.9,32.9
PRJ-0252,Anuradhapura,Residential,Rocky,4526.0,2.0,6.0,3.0,75561000.0,10103.0,37903000.0,14.0,4.0,15.0,0,3.8,2.8,5.1,6.9,3.6,2.9,5.8,1.8,32.7
PRJ-0253,Kalutara,Residential,Loam,8032.0,5.0,10.0,5.0,340216000.0,66797.0,212289000.0,14.0,12.0,43.0,1,5.2,2.2,5.7,12.6,6.6,4.3,7.9,2.4,46.9
PRJ-0254,Anuradhapura,Industrial,Sandy,12139.0,4.0,9.0,5.0,448548000.0,41587.0,278166000.0,22.0,6.0,51.0,1,6.8,3.0,6.5,12.8,7.1,3.8,8.2,3.6,51.8
PRJ-0255,Polonnaruwa,Residential,Clay,13081.0,4.0,11.0,4.0,253282000.0,65752.0,130609000.0,13.0,2.0,58.0,0,4.8,3.4,6.6,12.7,6.9,3.9,8.0,3.3,49.6
